Site,VLAN,Service,"	Bl Fo Mini Hubs"
BAR_G0155,,2G_scl,BAR_X0021
BAR_G0259,,2G_scl,BAR_X0176
BAR_G0259,,3G_scl,BAR_X0176
BAR_G0265,,2G_scl,BAR_X0206
BAR_G0265,,3G_scl,BAR_X0206
BAR_G0266,,2G_scl,BAR_X0174
BAR_G0276,,2G_scl,BAR_X0021
BAR_G0329,,2G_fhl,BAR_X0096
BAR_G0362,,2G_fhl,BAR_X0096
BAR_G0362,,3G_fhl,BAR_X0096
BAR_G0366,,2G_scl,BAR_X0176
BAR_G0366,,3G_scl,BAR_X0176
BAR_G0377,,2G_scl,BAR_X0206
BAR_G0377,,3G_scl,BAR_X0206
BAR_G0381,,2G_fhl,BAR_X0096
BAR_G0382,,2G_fhl,BAR_X0069
BAR_G0388,,2G_fhl,BAR_X0096
BAR_G0388,,3G_fhl,BAR_X0096
BAR_G0390,,2G_scl,BAR_X0176
BAR_G0390,,3G_scl,BAR_X0176
BAR_G0403,,2G_scl,BAR_X0174
BAR_G0413,,2G_scl,BAR_X0021
BAR_G0414,,2G_fhl,BAR_X0096
BAR_G0414,,3G_fhl,BAR_X0096
BAR_G0420,,2G_scl,BAR_X0174
BAR_G0484,,2G_fhl,BAR_X0096
BAR_G0484,,3G_fhl,BAR_X0096
BAR_G0489,,2G_scl,BAR_X0174
BAR_G0492,,2G_scl,BAR_X0021
BAR_G0496,,2G_scl,BAR_X0021
BAR_G0498,,2G_scl,BAR_X0174_1
BAR_G0500,,2G_scl,BAR_X0021
BAR_G0524,,2G_scl,BAR_X0206
BAR_G0524,,3G_scl,BAR_X0206
BAR_G0548,,2G_scl,BAR_X0174_2
BAR_G0577,,2G_scl,BAR_X0206
BAR_G0577,,3G_scl,BAR_X0206
BAR_R0404,,2G_scl,BAR_X0174
BAR_R0426,,2G_scl,BAR_X0174
BAR_R0468,,2G_fhl,BAR_X0096
BAR_R0468,,3G_fhl,BAR_X0096
BAR_R0510,,2G_scl,BAR_X0176
BAR_R0510,,3G_scl,BAR_X0176
BAR_R0595,,2G_scl,BAR_X0021
BAR_U0012,,3G_fhl,BAR_X0069
BAR_U0012,,OM_fhl,BAR_X0069
BAR_U0015,,3G_scl,BAR_X0021
BAR_U0015,,OM_scl,BAR_X0021
BAR_U0018,,3G_scl,BAR_X0021
BAR_U0018,,OM_scl,BAR_X0021
BAR_U0020,,3G_scl,BAR_X0021
BAR_U0020,,OM_scl,BAR_X0021
BAR_U0021,,3G_scl,BAR_X0021
BAR_U0021,,OM_scl,BAR_X0021
BAR_U0042,,3G_scl,BAR_X0021
BAR_U0042,,OM_scl,BAR_X0021
BAR_U0043,,3G_scl,BAR_X0021
BAR_U0043,,OM_scl,BAR_X0021
BAR_U0044,,3G_scl,BAR_X0174_1
BAR_U0044,,OM_scl,BAR_X0174_1
BAR_U0049,,3G_scl,BAR_X0174_2
BAR_U0049,,OM_scl,BAR_X0174_2
BAR_U0051,,3G_scl,BAR_X0174_1
BAR_U0051,,OM_scl,BAR_X0174_1
BAR_U0056,,3G_scl,BAR_X0021
BAR_U0056,,OM_scl,BAR_X0021
BAR_U0069,,3G_fhl,BAR_X0069
BAR_U0069,,OM_fhl,BAR_X0069
BAR_U0083,,3G_scl,BAR_X0021
BAR_U0083,,OM_scl,BAR_X0021
BAR_U0097,,3G_scl,BAR_X0174_1
BAR_U0097,,OM_scl,BAR_X0174_1
BAR_U0124,,3G_scl,BAR_X0174
BAR_U0124,,OM_scl,BAR_X0174
BAR_U0131,,3G_scl,BAR_X0174_2
BAR_U0131,,OM_scl,BAR_X0174_2
BAR_U0154,,3G_scl,BAR_X0021
BAR_U0154,,OM_scl,BAR_X0021
BAR_U0155,,3G_scl,BAR_X0021
BAR_U0155,,OM_scl,BAR_X0021
BAR_U0163,,3G_scl,BAR_X0174_1
BAR_U0163,,OM_scl,BAR_X0174_1
BAR_U0164,,3G_scl,BAR_X0174_1
BAR_U0164,,OM_scl,BAR_X0174_1
BAR_U0165,,3G_scl,BAR_X0174_1
BAR_U0165,,OM_scl,BAR_X0174_1
BAR_U0170,,3G_scl,BAR_X0021
BAR_U0170,,OM_scl,BAR_X0021
BAR_U0174,,3G_scl,BAR_X0174
BAR_U0174,,OM_scl,BAR_X0174
BAR_U0175,,3G_scl,BAR_X0021
BAR_U0175,,OM_scl,BAR_X0021
BAR_U0182,,3G_scl,BAR_X0174_1
BAR_U0182,,OM_scl,BAR_X0174_1
BAR_U0183,,3G_fhl,BAR_X0069
BAR_U0183,,OM_fhl,BAR_X0069
BAR_U0200,,3G_scl,BAR_X0174
BAR_U0200,,OM_scl,BAR_X0174
BAR_U0204,,3G_scl,BAR_X0174
BAR_U0204,,OM_scl,BAR_X0174
BAR_U0205,,3G_scl,BAR_X0174
BAR_U0205,,OM_scl,BAR_X0174
BAR_U0208,,3G_fhl,BAR_X0069
BAR_U0208,,OM_fhl,BAR_X0069
BAR_U0213,,3G_scl,BAR_X0174
BAR_U0213,,OM_scl,BAR_X0174
BAR_U0215,,3G_scl,BAR_X0021
BAR_U0215,,OM_scl,BAR_X0021
BAR_U0222,,3G_scl,BAR_X0021
BAR_U0222,,OM_scl,BAR_X0021
BAR_U0230,,3G_scl,BAR_X0021
BAR_U0230,,OM_scl,BAR_X0021
BAR_U0240,,3G_scl,BAR_X0021
BAR_U0240,,OM_scl,BAR_X0021
BAR_U0253,,3G_scl,BAR_X0174_1
BAR_U0253,,OM_scl,BAR_X0174_1
BAR_U0266,,3G_scl,BAR_X0174
BAR_U0266,,OM_scl,BAR_X0174
BAR_U0276,,3G_scl,BAR_X0021
BAR_U0276,,OM_scl,BAR_X0021
BAR_U0305,,3G_scl,BAR_X0174
BAR_U0305,,OM_scl,BAR_X0174
BAR_U0372,,3G_scl,BAR_X0021
BAR_U0372,,OM_scl,BAR_X0021
BAR_U0374,,3G_scl,BAR_X0021
BAR_U0374,,OM_scl,BAR_X0021
BAR_U0375,,3G_scl,BAR_X0021
BAR_U0375,,OM_scl,BAR_X0021
BAR_U0382,,3G_fhl,BAR_X0069
BAR_U0382,,OM_fhl,BAR_X0069
BAR_U0392,,3G_scl,BAR_X0174_1
BAR_U0392,,OM_scl,BAR_X0174_1
BAR_U0393,,3G_scl,BAR_X0174_1
BAR_U0393,,OM_scl,BAR_X0174_1
BAR_U0403,,3G_scl,BAR_X0174
BAR_U0403,,OM_scl,BAR_X0174
BAR_U0404,,3G_scl,BAR_X0174
BAR_U0404,,OM_scl,BAR_X0174
BAR_U0409,,3G_scl,BAR_X0174_1
BAR_U0409,,OM_scl,BAR_X0174_1
BAR_U0420,,3G_scl,BAR_X0174
BAR_U0420,,OM_scl,BAR_X0174
BAR_U0426,,3G_scl,BAR_X0174
BAR_U0426,,OM_scl,BAR_X0174
BAR_U0454,,3G_fhl,BAR_X0069
BAR_U0454,,OM_fhl,BAR_X0069
BAR_U0456,,3G_scl,BAR_X0174_1
BAR_U0456,,OM_scl,BAR_X0174_1
BAR_U0457,,3G_scl,BAR_X0174_1
BAR_U0457,,OM_scl,BAR_X0174_1
BAR_U0489,,3G_scl,BAR_X0174
BAR_U0489,,OM_scl,BAR_X0174
BAR_U0492,,3G_scl,BAR_X0021
BAR_U0492,,OM_scl,BAR_X0021
BAR_U0595,,3G_scl,BAR_X0021
BAR_U0595,,OM_scl,BAR_X0021
BAR_W0208,,2G_fhl,BAR_X0069
BAR_W0375,,2G_scl,BAR_X0021
BAR_W0407,,2G_scl,BAR_X0021
BAR_X0008,,2G_scl,BAR_X0008
BAR_X0008,,3G_scl,BAR_X0008
BAR_X0009,,2G_scl,BAR_X0111
BAR_X0009,,3G_scl,BAR_X0111
BAR_X0012,,2G_fhl,BAR_X0069
BAR_X0014,,2G_scl,BAR_X0174
BAR_X0014,,3G_scl,BAR_X0174
BAR_X0015,,2G_scl,BAR_X0021
BAR_X0018,,2G_scl,BAR_X0021
BAR_X0020,,2G_scl,BAR_X0021
BAR_X0020,,RTN_scl,BAR_X0021
BAR_X0021,,2G_scl,BAR_X0021
BAR_X0021,,RTN_scl,BAR_X0021
BAR_X0024,,2G_fhl,BAR_X0096
BAR_X0024,,3G_fhl,BAR_X0096
BAR_X0031,,2G_scl,BAR_X0121
BAR_X0031,,3G_scl,BAR_X0121
BAR_X0037,,2G_scl,BAR_X0206
BAR_X0038,,2G_scl,BAR_X0039
BAR_X0038,,3G_scl,BAR_X0039
BAR_X0039,,2G_scl,BAR_X0039
BAR_X0039,,3G_scl,BAR_X0039
BAR_X0040,,2G_scl,BAR_X0143
BAR_X0040,,3G_scl,BAR_X0143
BAR_X0041,,2G_scl,BAR_X0143
BAR_X0042,,2G_scl,BAR_X0021
BAR_X0043,,2G_scl,BAR_X0021
BAR_X0044,,2G_scl,BAR_X0174_1
BAR_X0049,,2G_scl,BAR_X0174_2
BAR_X0050,,2G_fhl,BAR_X0096
BAR_X0050,,3G_fhl,BAR_X0096
BAR_X0051,,2G_scl,BAR_X0174_1
BAR_X0055,,2G_scl,BAR_X0174
BAR_X0055,,3G_scl,BAR_X0174
BAR_X0056,,2G_scl,BAR_X0021
BAR_X0060,,2G_scl,BAR_X0143
BAR_X0060,,3G_scl,BAR_X0143
BAR_X0063,,2G_fhl,BAR_X0096
BAR_X0063,,3G_fhl,BAR_X0096
BAR_X0069,,2G_fhl,BAR_X0069
BAR_X0070,,2G_scl,BAR_X0039
BAR_X0070,,3G_scl,BAR_X0039
BAR_X0073,,2G_scl,BAR_X0128
BAR_X0073,,3G_scl,BAR_X0128
BAR_X0075,,2G_scl,BAR_X0143
BAR_X0075,,3G_scl,BAR_X0143
BAR_X0079,,2G_scl,BAR_X0119
BAR_X0079,,3G_scl,BAR_X0119
BAR_X0082,,2G_scl,BAR_X0082
BAR_X0082,,3G_scl,BAR_X0082
BAR_X0083,,2G_scl,BAR_X0021
BAR_X0091,,2G_scl,BAR_X0119
BAR_X0091,,3G_scl,BAR_X0119
BAR_X0092,,2G_scl,BAR_X0121
BAR_X0092,,3G_scl,BAR_X0121
BAR_X0093,,2G_scl,BAR_X0111
BAR_X0093,,3G_scl,BAR_X0111
BAR_X0094,,2G_scl,BAR_X0008
BAR_X0094,,3G_scl,BAR_X0008
BAR_X0096,,2G_fhl,BAR_X0096
BAR_X0096,,3G_fhl,BAR_X0096
BAR_X0097,,2G_scl,BAR_X0174_1
BAR_X0098,,2G_scl,BAR_X0098
BAR_X0098,,3G_scl,BAR_X0098
BAR_X0099,,2G_scl,BAR_X0234
BAR_X0099,,3G_scl,BAR_X0234
BAR_X0104,,2G_scl,BAR_X0234
BAR_X0104,,3G_scl,BAR_X0234
BAR_X0110,,2G_scl,BAR_X0008
BAR_X0111,,2G_scl,BAR_X0111
BAR_X0111,,3G_scl,BAR_X0111
BAR_X0112,,2G_scl,BAR_X0112
BAR_X0113,,2G_scl,BAR_X0119
BAR_X0113,,3G_scl,BAR_X0119
BAR_X0117,,2G_scl,BAR_X0008
BAR_X0119,,2G_scl,BAR_X0119
